Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
SGP,Singapore,2004,8.5722052915981,3.1,1.556,79.490243902439,4166664.0,100.0
SGP,Singapore,2008,-3.41549269446281,2.8,1.631,80.790243902439,4839396.0,100.0
SGP,Singapore,2012,1.90446223662212,2.8,1.932,81.9951219512195,5312437.0,100.0
SGP,Singapore,2016,2.41021443466256,2.7,2.325,82.8463414634146,5607283.0,100.0
SLB,Solomon Islands,1992,9.35072472383121,36.2,0.157,66.471,352205.0,14.1156307980977
SLB,Solomon Islands,2008,4.42328745185992,28.1,0.175,68.336,508790.0,19.0370010521463
SLB,Solomon Islands,2012,-1.22485253459861,26.2,0.15,68.961,573606.0,21.3906964219987
SLB,Solomon Islands,2016,1.8954619438627,24.5,0.181,69.501,662379.0,24.5047424399707
SLE,Sierra Leone,1980,2.77392622981942,288.6,0.058,42.839,3272089.0,30.2130166916028
SLE,Sierra Leone,1984,1.83752207389294,274.8,0.075,43.561,3558758.0,31.7692237825286
SLE,Sierra Leone,1996,1.26843628467385,242.8,0.073,43.528,4199210.0,34.6993438070346
SLE,Sierra Leone,2004,2.93937041660126,200.6,0.031,47.485,5355717.0,36.5491283814755
SLE,Sierra Leone,2008,1.12905319443597,173.3,0.0155,50.693,5894722.0,37.8725951588418
SLV,El Salvador,1980,-16.9489476313547,125.3,0.326,48.589,4540382.0,42.8116507589043
SLV,El Salvador,1984,-0.579001391831696,84.2,0.352,56.571,4798003.0,45.1138197629018
SLV,El Salvador,1988,-0.149099217112905,66.5,0.647,59.977,5195833.0,47.6695741205689
SLV,El Salvador,2008,1.82447186659891,20.4,1.914,70.138,6029297.0,63.6372503452723
SLV,El Salvador,2016,2.25589267443243,13.9,1.5662,70.908,6200800.0,70.3990173339844
SMR,San Marino,2012,-9.40251314800584,2.4,4.896,83.943,33469.0,97.0999984741211
SOM,"Somalia, Fed. Rep.",1984,-0.428395914894608,194.9,0.071,48.438,6428389.0,27.7224770306845
SRB,Serbia,2004,6.93608982587538,9.7,2.772,72.6829268292683,7463157.0,57.3144555999278
SRB,Serbia,2008,5.60952327700927,7.9,2.943,73.8853658536585,7350222.0,58.8944613226962
SRB,Serbia,2012,0.040200455150412,7.1,3.047,74.8365853658537,7201497.0,59.3468437194824
SRB,Serbia,2016,3.5158880281917,6.1,2.926,75.6878048780488,7058322.0,60.3853870034026
STP,Sao Tome and Principe,1980,-3.38207304585406,91.0,0.438,59.361,98544.0,33.3439263162786
STP,Sao Tome and Principe,1992,-1.19672530387369,108.9,0.328,60.706,128110.0,45.7968298871752
STP,Sao Tome and Principe,1996,-0.0318143345786694,101.3,0.467,60.576,136962.0,49.3645396106862
STP,Sao Tome and Principe,2004,0.983351604603726,60.5,0.514,62.56,157705.0,57.8774845467458
SUR,Suriname,1984,-2.78476423596697,54.9,0.791,61.211,382193.0,66.1600272294813
SUR,Suriname,1996,-1.12297125235634,36.0,0.252,63.079,438830.0,66.5963972897263
SUR,Suriname,2000,0.016412852428175,31.1,0.401,64.409,476643.0,66.7015222141811
SUR,Suriname,2004,6.9146916825718,27.2,0.778,66.362,513923.0,66.743604713168
SUR,Suriname,2016,-5.90338246401519,20.0,1.087,70.979,587757.0,66.1426466980469
SVK,Slovak Republic,2000,0.925761788954276,9.6,3.238,73.0512195121951,5388720.0,56.1058893284907
SVK,Slovak Republic,2004,5.41095986972041,8.6,3.151,73.9585365853659,5372280.0,55.5843833415875
SVK,Slovak Republic,2008,5.27306126349816,7.4,3.369,74.7048780487805,5379233.0,54.895930446636
SVK,Slovak Republic,2012,1.39646371759601,6.6,3.366,76.109756097561,5407579.0,54.2764528316182
SVK,Slovak Republic,2016,1.81646959957402,6.1,3.476,77.1658536585366,5430798.0,53.7399327086517
SVN,Slovenia,1992,-5.3249118126253,9.0,2.089,73.3048780487805,1996498.0,50.6631317138672
SVN,Slovenia,1996,2.97799607802567,6.9,2.14,74.4585365853658,1988628.0,50.2747487580715
SVN,Slovenia,2000,3.1919411832727,5.4,2.154,75.4121951219512,1988925.0,50.6975029797519
SVN,Slovenia,2004,4.47906492828298,4.4,2.302,77.2073170731707,1997012.0,50.7124410611224
SVN,Slovenia,2008,3.20889412209657,3.6,2.397,78.7658536585366,2021316.0,50.3620036820409
SVN,Slovenia,2012,-3.11922481726151,2.9,2.546,80.1243902439024,2057159.0,49.7619476318359
